word1,word2,jaccard_coef
ハンズオン,演習,0.10526315789473684
pandas,scikitlearn,0.05263157894736842
kubernetes,マルチステジビルド,0.05263157894736842
ハンズオン,形式,0.047619047619047616
isucon,題材,0.047619047619047616
isucon,来年,0.043478260869565216
ハンズオン,ハンズオン,0.037037037037037035
pandas,精通,0.03333333333333333
歴史,黒,0.03125
kubernetes,検証,0.02702702702702703
プルリクエスト,人柄,0.022222222222222223
初心者,症候群,0.019801980198019802
初心者,勿体,0.019801980198019802
pandas,操作,0.019230769230769232
歴史,歴史,0.01818181818181818
プルリクエスト,マジ,0.01818181818181818
gcp,高度,0.01694915254237288
プルリクエスト,温度,0.015873015873015872
用語,関数,0.014814814814814815
issue,spatchsystemtestingdriver,0.012987012987012988
issue,パッチ,0.012987012987012988
ハンズオン,豊富,0.01282051282051282
gcp,os,0.01282051282051282
pandas,解析,0.012658227848101266
分析,市場,0.012552301255230125
用語,真摯,0.0125
gcp,完結,0.012345679012345678
プログラミング,原則,0.012204424103737605
issue,クロズ,0.012048192771084338
物理,遠距離,0.011627906976744186
issue,rb,0.011494252873563218
文系,非常勤,0.011363636363636364
文系,講師,0.010752688172043012
プルリクエスト,図,0.010638297872340425
初心者,幅,0.010416666666666666
初心者,盤石,0.01020408163265306
文系,東京,0.01015228426395939
分析,率,0.01011804384485666
文系,育ち,0.010101010101010102
プログラム,自動的,0.009950248756218905
分析,手法,0.00975609756097561
用語,認定,0.009708737864077669
初心者,定番,0.009708737864077669
プログラム,実行,0.00964630225080386
分析,座標,0.009584664536741214
分析,配分,0.009584664536741214
分析,占有,0.009287925696594427
分析,分類,0.009287925696594427
プログラム,進数,0.009259259259259259
分析,資源,0.009202453987730062
分析,競合,0.009202453987730062
プログラム,契約,0.009009009009009009
分析,製品,0.008849557522123894
ポエム,寄付,0.008771929824561403
kubernetes,移行,0.008771929824561403
文系,生まれ,0.008695652173913044
プルリクエスト,体験,0.00847457627118644
分析,明確,0.008403361344537815
ポエム,視座,0.00819672131147541
プルリクエスト,定例,0.008
物理,経,0.007462686567164179
プログラム,手法,0.007272727272727273
分析,分析,0.007168458781362007
物理,転々,0.007142857142857143
資格,資格,0.007135575942915392
分析,判断,0.0071090047393364926
初心者,開花,0.007042253521126761
初心者,動向,0.007042253521126761
分析,投資,0.007009345794392523
issue,メンテナンス,0.006944444444444444
分析,同時,0.006802721088435374
oracle,フルスタックエンジニアフルスタックエンジニア,0.006802721088435374
oracle,sendmail,0.006802721088435374
oracle,バックアップリストア,0.006802721088435374
oracle,検知,0.006802721088435374
pandas,python,0.006756756756756757
初心者,解析,0.006756756756756757
oracle,アラト,0.006711409395973154
プログラム,重,0.006666666666666667
プログラム,定形,0.006666666666666667
gcp,クラ,0.006622516556291391
gcp,ウド,0.006622516556291391
プログラム,直後,0.006535947712418301
ポエム,過ぎ,0.006493506493506494
kubernetes,アプリ,0.006493506493506494
プルリクエスト,流れ,0.006493506493506494
分析,発想,0.006389776357827476
oracle,障害,0.006369426751592357
テスト,自動,0.00625
物理,金融,0.00625
初心者,現役,0.006211180124223602
プログラミング,言語,0.006152732537097358
ポエム,関連,0.006097560975609756
gcp,ネットワク,0.006060606060606061
プログラム,感動,0.006024096385542169
用語,関心,0.005952380952380952
学生,線形,0.005917159763313609
文系,都内,0.005917159763313609
プルリクエスト,先輩,0.005917159763313609
分析,確認,0.0058823529411764705
issue,リポジトリ,0.005747126436781609
プログラミング,勉強,0.005715841045182362
プログラム,設定,0.005706134094151213
ポエム,還元,0.005649717514124294
プログラム,近年,0.005649717514124294
学生,新卒,0.0056179775280898875
ポエム,各種,0.0056179775280898875
プログラム,大枠,0.005555555555555556
分析,軸,0.0055248618784530384
プログラム,動作,0.0055248618784530384
分析,検討,0.005357142857142857
プログラム,革新,0.0053475935828877
資格,購入,0.0053404539385847796
プログラム,記述,0.005291005291005291
プログラム,種類,0.005263157894736842
gcp,進化,0.005235602094240838
pandas,有効,0.005154639175257732
oracle,フルスタックエンジニア,0.005076142131979695
初心者,周囲,0.005050505050505051
プログラム,動的,0.005025125628140704
プログラム,正規,0.005025125628140704
gcp,推進,0.005025125628140704
マネジメント,職,0.004987531172069825
マネジメント,期待,0.0049833887043189366
プログラミング,原理,0.004975124378109453
oracle,python,0.0049504950495049506
oracle,共通,0.0049504950495049506
分析,経営,0.004934210526315789
初心者,既存,0.0048543689320388345
ポエム,桁,0.004830917874396135
oracle,内部,0.004830917874396135
分析,売上,0.004784688995215311
ポエム,実務,0.00477326968973747
分析,立ち,0.004658385093167702
プログラム,見積もり,0.004651162790697674
ポエム,登壇,0.004608294930875576
oracle,豊富,0.004608294930875576
プログラム,応用,0.0045045045045045045
プログラム,正確,0.004464285714285714
初心者,現実,0.0044444444444444444
マネジメント,再現,0.004440497335701598
プログラム,条件,0.004415011037527594
用語,試験,0.004347826086956522
マネジメント,特,0.00432152117545376
プログラム,直接,0.00423728813559322
プログラム,絶対,0.004201680672268907
プログラミング,競技,0.004170141784820684
分析,有名,0.004166666666666667
プログラム,法律,0.004149377593360996
プログラム,変化,0.004149377593360996
初心者,取得,0.004106776180698152
プログラム,自動,0.004098360655737705
プログラム,注目,0.0040650406504065045
テスト,現場,0.004046535154274153
プログラミング,知識,0.004025764895330112
テスト,環境,0.00400851810096455
マネジメント,メンバ,0.0039011703511053317
学生,現状,0.003898635477582846
マネジメント,後輩,0.0038910505836575876
学生,最近,0.003875968992248062
ポエム,感想,0.003875968992248062
oracle,スペシャリスト,0.003875968992248062
ライブラリ,依存,0.0038363171355498722
プログラミング,活動,0.0038153376573826785
テスト,テスト,0.0037974683544303796
ポエム,長期,0.0037735849056603774
学生,家庭,0.003766478342749529
ポエム,投稿,0.0037593984962406013
oracle,対応,0.00375234521575985
分析,購入,0.0037174721189591076
初心者,成功,0.0036900369003690036
マネジメント,方面,0.003663003663003663
研修,離脱,0.003663003663003663
マネジメント,役割,0.003611971104231166
学生,階,0.0036101083032490976
学生,混合,0.0036101083032490976
学生,都合,0.0035971223021582736
oracle,基盤,0.0035842293906810036
プログラミング,学校,0.0035816618911174787
oracle,外部,0.0035714285714285713
プログラミング,プログラミング,0.003568242640499554
issue,クラス,0.0035587188612099642
研修,講座,0.0035460992907801418
プログラミング,基礎,0.0035353535353535356
分析,自社,0.0035169988276670576
ライブラリ,修正,0.00351288056206089
分析,複数,0.0035087719298245615
ポエム,具体,0.0034965034965034965
oracle,全体,0.003472222222222222
プログラミング,プログラミングスクル,0.0034698126301179735
初心者,解説,0.0034602076124567475
学生,込み,0.0034602076124567475
プログラム,先輩,0.0034482758620689655
分析,性別,0.0034482758620689655
プログラム,勤務,0.003424657534246575
分析,同業,0.003424657534246575
分析,漏れ,0.003424657534246575
大学生,好評,0.003424657534246575
テスト,デタ,0.0034041173609985413
テスト,技術,0.0033640552995391707
文系,職,0.0033112582781456954
マネジメント,調整,0.003246753246753247
pandas,ライブラリ,0.003236245954692557
プログラミング,未,0.0032292787944025836
学生,転売,0.0032258064516129032
学生,集団,0.003215434083601286
分析,正当,0.0031645569620253164
分析,徹底的,0.0031645569620253164
分析,添削,0.0031645569620253164
テスト,品質,0.0031545741324921135
テスト,考慮,0.0031529164477141357
学生,開花,0.0031446540880503146
分析,演繹,0.003125
ポエム,受託,0.003115264797507788
分析,収集,0.003105590062111801
プログラミング,資格,0.0030978934324659233
分析,履歴,0.003048780487804878
学生,若手,0.0030464584920030465
プログラミング,面接,0.003033367037411527
分析,業,0.0030303030303030303
テスト,本番,0.0030193236714975845
分析,圧倒的,0.0030120481927710845
ライブラリ,利用,0.002997601918465228
マネジメント,実施,0.002982848620432513
マネジメント,効率,0.0029806259314456036
学生,現役,0.002967359050445104
分析,競,0.002967359050445104
初心者,現状,0.0029585798816568047
oracle,軸,0.0029585798816568047
マネジメント,複数,0.0029433406916850625
分析,年代,0.0029239766081871343
学生,普通,0.0029069767441860465
テスト,実装,0.002904673884341167
ポエム,地方,0.002898550724637681
物理,発信,0.002890173410404624
プログラミング,学生,0.002886002886002886
プログラミング,家庭,0.0028797696184305254
マネジメント,経営,0.002861230329041488
分析,指向,0.002849002849002849
プログラミング,新卒,0.0028476506881822496
isucon,友人,0.002840909090909091
初心者,学生,0.0028328611898017
プログラム,世の中,0.0028328611898017
プログラミング,都合,0.002828854314002829
資格,面談,0.0028129395218002813
テスト,強み,0.0028109627547434997
マネジメント,マネジメント,0.002806361085126286
大学生,時給,0.0027906976744186047
マネジメント,育成,0.0027643400138217
プログラミング,若手,0.0027637033625057578
テスト,身,0.00276327909118821
プログラミング,退職,0.0027535566773749425
マネジメント,勉強,0.0027533039647577094
テスト,理解,0.0027494108405341712
分析,同僚,0.0027397260273972603
テスト,成長,0.002692595362752431
テスト,要件,0.002668699961875715
oracle,保有,0.0026666666666666666
マネジメント,課題,0.002661596958174905
学生,解説,0.002652519893899204
学生,本業,0.002652519893899204
学生,資格,0.002642007926023778
学生,専攻,0.002638522427440633
学生,政令,0.002638522427440633
学生,特記,0.002638522427440633
テスト,説明,0.0026359932901988976
oracle,特定,0.002631578947368421
学生,魅力,0.002631578947368421
gcp,自動,0.0026246719160104987
テスト,開発,0.0026216510007033697
テスト,事業,0.0026203734032099572
ハンズオン,問題,0.002607561929595828
分析,適用,0.0026041666666666665
分析,比較,0.0026041666666666665
テスト,状態,0.002598152424942263
ライブラリ,問,0.0025974025974025974
学生,最初,0.002577319587628866
テスト,レベル,0.002574002574002574
マネジメント,部門,0.002572898799313894
分析,形成,0.002564102564102564
学生,都市,0.002564102564102564
学生,空白,0.002564102564102564
プログラミング,メタ,0.002553191489361702
マネジメント,年度,0.002548853016142736
資格,都合,0.0025477707006369425
gcp,ミドル,0.002544529262086514
初心者,特定,0.002531645569620253
マネジメント,リスク,0.002529510961214165
プログラミング,経験,0.0025177025963808025
大学生,講義,0.002509410288582183
大学生,私生活,0.002509410288582183
学生,対象,0.0025
テスト,ユニット,0.0024984384759525295
プログラミング,本格,0.002497918401332223
学生,現実,0.0024937655860349127
分析,担保,0.0024937655860349127
大学生,年収,0.002489110143123833
プログラミング,無料,0.0024855012427506215
ポエム,詳細,0.0024691358024691358
分析,職業,0.0024691358024691358
プログラミング,苦労,0.0024650780608052587
ポエム,独学,0.0024509803921568627
初心者,効果,0.0024449877750611247
初心者,独学,0.0024390243902439024
マネジメント,施策,0.002435064935064935
学生,指定,0.0024330900243309003
テスト,新人,0.0024271844660194173
ポエム,未,0.0024271844660194173
分析,流れ,0.0024271844660194173
gcp,育成,0.0024154589371980675
テスト,原因,0.002396644697423607
文系,社,0.0023894862604540022
研修,自,0.0023894862604540022
テスト,ハイレベル,0.0023823704586063135
プログラミング,プログラム,0.002369668246445498
分析,獲得,0.002364066193853428
大学生,新,0.0023612750885478157
テスト,活用,0.002357100766057749
issue,n,0.002347417840375587
テスト,設計,0.0023466309084813944
テスト,範囲,0.0023407022106631988
プログラミング,主,0.002317497103128621
テスト,文化,0.0023125206475057814
テスト,大,0.0022904260192395786
学生,製造,0.002277904328018223
大学生,無理,0.0022753128555176336
テスト,責任,0.0022602518566354536
テスト,過去,0.0022560631697687537
学生,記載,0.0022522522522522522
プログラミング,年齢,0.0022488755622188904
学生,成功,0.0022371364653243847
プログラム,特定,0.0022222222222222222
